config,kd,mt,ls,R2,direct_auroc,AUROC_mean,AUROC_lower,AUROC_upper,PPV_mean,PPV_lower,PPV_upper,NPV_mean,NPV_lower,NPV_upper,PLR_mean,PLR_lower,PLR_upper,NLR_mean,NLR_lower,NLR_upper,Sensitivity_mean,Sensitivity_lower,Sensitivity_upper,Specificity_mean,Specificity_lower,Specificity_upper,ACC_mean,ACC_lower,ACC_upper
baseline,True,True,True,0.21714411422821212,0.8223372334418814,0.8219427811324979,0.7997825586495111,0.843376562115453,0.4482709689612702,0.4069952305246423,0.49169435215946844,0.9103114728536225,0.8958966565349544,0.9245432883240667,3.1572974796545923,2.81390977443609,3.533278141541859,0.38207694196136793,0.3263143569409305,0.443367996317058,0.703292444772093,0.6552706552706553,0.7446236559139785,0.7766918998989998,0.7542819499341239,0.7989556135770235,0.7616413502109705,0.7420886075949367,0.7805907172995781
no_kd,False,True,True,0.22136895391442601,0.8171736694056698,0.8172033054390436,0.7945786546703978,0.8395653965927825,0.48635529862457016,0.44029850746268656,0.5303326810176126,0.9041082885231003,0.8881481481481481,0.9186991869918699,3.6830213994442165,3.221702317290552,4.2358200784647675,0.4112529983886891,0.3538358879751929,0.4733061475200055,0.6631129416828794,0.613941018766756,0.7085561497326203,0.8193335509267398,0.7988319273199221,0.8401337792642141,0.787292194092827,0.7679324894514767,0.8069620253164557
no_mt,True,False,True,-5.929147693739595,0.8084432033543549,0.8085939365976812,0.7824814050151767,0.8324253577876767,0.4776302190588513,0.43151969981238275,0.5221579961464354,0.8971579786309216,0.8819241982507289,0.9130434782608695,3.5559206714305964,3.120805369127516,4.069545289040244,0.4445148839839819,0.3866510087786847,0.5033280158424556,0.635207831596938,0.5868421052631579,0.6807387862796834,0.8207834272575348,0.8001332445036642,0.8418266048974189,0.7827331223628693,0.7642405063291139,0.8011603375527426
no_ls,True,True,False,0.21714411422821212,0.8223372334418814,0.8219427811324979,0.7997825586495111,0.843376562115453,0.4482709689612702,0.4069952305246423,0.49169435215946844,0.9103114728536225,0.8958966565349544,0.9245432883240667,3.1572974796545923,2.81390977443609,3.533278141541859,0.38207694196136793,0.3263143569409305,0.443367996317058,0.703292444772093,0.6552706552706553,0.7446236559139785,0.7766918998989998,0.7542819499341239,0.7989556135770235,0.7616413502109705,0.7420886075949367,0.7805907172995781
