epoch,train_loss,train_acc,train_r2,val_loss,val_acc,val_r2,val_auroc
1,2.9393890216811176,0.5640574611550865,-0.6339455206886973,1.7214633210667833,0.7031662269129287,0.15369561262890252,0.6881078478574867
2,1.9448761892821984,0.6624157138669012,0.03891822978168202,1.6209240774366032,0.758575197889182,0.21936386758996307,0.7330979511046916
3,1.933394830480624,0.6873350923482849,0.030125273062927893,1.6452631969250602,0.7282321899736148,0.1821288794887156,0.7460011769111432
4,1.8441520153480133,0.6999413661682791,0.08842781899265129,1.5886824527327807,0.6952506596306068,0.2157229471003741,0.7630984860643022
5,1.8174145989178982,0.6892406918792143,0.10371489391951028,1.6400220136214687,0.7282321899736148,0.17362485763480362,0.7625421280693309
6,1.8189022636455512,0.7071240105540897,0.09924536396735784,1.5688062695525882,0.683377308707124,0.22198235372761754,0.7668753009147808
7,1.8046745084241422,0.7185576077396658,0.10429903206394053,1.6123285765383677,0.7783641160949868,0.19125307576164507,0.775862622372011
8,1.8017469883943646,0.7248607446496629,0.10523365589136735,1.5666738978161976,0.7770448548812665,0.2299599215740319,0.7730380356283102
9,1.7639211655641645,0.7131339783054823,0.1323490145335784,1.5825422112105074,0.7559366754617414,0.2125974636057666,0.7720537099448991
10,1.768929388473475,0.7216358839050132,0.12253807853114473,1.6021963612699885,0.7467018469656992,0.19063876360616838,0.774888995880811
11,1.7544189422789713,0.7217824684843155,0.1373641706080938,1.6135528455623536,0.737467018469657,0.177849477640733,0.7789332905365646
12,1.7278299618941604,0.7267663441805922,0.15271299910873004,1.5513390862532845,0.7084432717678101,0.2265729609108057,0.7759696142941208
13,1.7406300655106093,0.7102022867194371,0.1461848819863456,1.6264641020732065,0.6992084432717678,0.1672957481886932,0.777670785855668
14,1.747933650499074,0.7340955731457051,0.13051612111983169,1.607006582546989,0.7823218997361477,0.22043782416327495,0.7744824265767936
15,1.7319327663096191,0.7289651128701261,0.14390541592589323,1.667970103135524,0.7242744063324539,0.13105840616121878,0.7806986572513775
16,1.6874031531988998,0.7286719437115216,0.17315435675448654,1.5736172957281953,0.7651715039577837,0.21927219391700703,0.7741507516182529
17,1.6850686067012495,0.7343887423043096,0.17799723885370167,1.7013782209330939,0.6728232189973615,0.10946585758333194,0.7763226876370835
18,1.694727373032303,0.7258868367047786,0.1641414045108791,1.6432871264958444,0.7664907651715039,0.1629050138701913,0.7747071096132242
19,1.67668636961439,0.7379067722075637,0.18198749426692307,1.606047614268703,0.7427440633245382,0.1894753569771056,0.7699138715027015
20,1.6390486088570735,0.7345353268836119,0.2001125766456694,1.672751845659241,0.7203166226912929,0.13081169835914985,0.7750815813406088
21,1.6554488485700327,0.7354148343594253,0.19288638568704364,1.7165839577727708,0.7546174142480211,0.10277204964720665,0.777563793933558
22,1.6111023317715598,0.7418645558487247,0.21895055080219672,1.613655462114037,0.7427440633245382,0.1872558711516925,0.7696142941207939
23,1.6113829794114582,0.742011140428027,0.21747255393530274,1.6759417912576318,0.7216358839050132,0.1368282885144334,0.7682554967099984
24,1.6279250078626268,0.7443564936968631,0.20315063554808666,1.6069556679134318,0.758575197889182,0.19413858547674234,0.7701278553469213
25,1.5836201679738027,0.7412782175315157,0.23476564341749329,1.6360084677119997,0.741424802110818,0.16869124486353904,0.7707484084951588
