epoch,train_loss,train_acc,train_r2,val_loss,val_acc,val_r2,val_auroc
1,0.6828722234032295,0.5987980064497215,-6.462124708339637,0.6319857886095475,0.6860158311345647,-6.599121034440874,0.7071417108008345
2,0.6215737327841572,0.6710642040457344,-6.474273776992759,0.615621154887066,0.7506596306068601,-6.688884923438207,0.7414647194136842
3,0.6006095800292139,0.6841102316036353,-6.550425987688931,0.6112361949792323,0.7018469656992085,-6.670864830681531,0.7418605895254908
4,0.5843002931248998,0.713573732043389,-6.51279721402463,0.5873834972016729,0.6965699208443272,-6.643606922393258,0.7581554592628256
5,0.5811360568743024,0.7109352096159484,-6.5013587330707026,0.6000544812559767,0.7717678100263852,-6.611295136491814,0.7567324666987643
6,0.5734160426633863,0.7145998240985049,-6.505243254054363,0.5696805710842867,0.7242744063324539,-6.664315772644945,0.7739795645428771
7,0.5698816088052552,0.7170917619466433,-6.505155496315396,0.5774969667746712,0.7480211081794196,-6.680811070439973,0.7747499063820682
8,0.574977843083793,0.7189973614775725,-6.553224565255776,0.594237224722286,0.7704485488126649,-6.653769560535161,0.7686192692451721
9,0.5606968802935355,0.7261800058633832,-6.477657648021512,0.5671645174869446,0.7348284960422163,-6.654858829745136,0.7785909163858128
10,0.5545091333276748,0.7307241278217531,-6.507708874037734,0.6029124855995178,0.7704485488126649,-6.630078738537916,0.7662761461509656
11,0.5536037835687599,0.7310172969803577,-6.514888704798529,0.5799667640223037,0.7480211081794196,-6.6098489767204205,0.7729096453217782
12,0.5510525889006642,0.742597478745236,-6.47990029267916,0.5843973357947961,0.7572559366754618,-6.62911065646562,0.7749959878029209
13,0.5524465250186087,0.727792436235708,-6.479448205288622,0.578128675829452,0.7229551451187335,-6.63922609327867,0.7729203445139892
14,0.5410202624283379,0.7487540310759309,-6.547017933353235,0.6116959474646636,0.7717678100263852,-6.627791647168955,0.773005938051677
15,0.5414831011010838,0.7468484315450015,-6.518918257496188,0.593083397222383,0.7532981530343008,-6.641591516617357,0.7627240143369176
16,0.5260732426771982,0.740838463793609,-6.530531004756885,0.6249289130472571,0.7757255936675461,-6.662645431829873,0.7672390734499546
17,0.5163520254791045,0.7524186455584873,-6.528230327756524,0.5943242047267099,0.762532981530343,-6.632654900143542,0.7737655806986572
18,0.5131647737974716,0.7618000586338317,-6.517885289713289,0.6147319002956703,0.7638522427440633,-6.6383156231066875,0.7572460279248917
19,0.5106087539839765,0.7754324245089417,-6.506747598785086,0.60425759006616,0.7612137203166227,-6.630787769205818,0.7584122398758893
